,Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Metrics,Is_Exception
62,Montrose Beach,2014-05-29T18:00:00,15.3,6.51,1.401,0.298,3.0,11.8,MontroseBeach201405291800,788.04,1
63,Montrose Beach,2014-05-29T19:00:00,15.5,6.71,1.4,0.287,3.0,11.8,MontroseBeach201405291900,776.3399999999999,1
64,Calumet Beach,2014-05-29T19:00:00,16.8,1.39,1.51,0.175,3.0,11.7,CalumetBeach201405291900,613.06,1
65,Montrose Beach,2014-05-29T20:00:00,15.3,6.17,1.406,0.298,3.0,11.8,MontroseBeach201405292000,786.6800000000001,1
66,Calumet Beach,2014-05-29T20:00:00,16.7,1.46,1.413,0.182,4.0,11.7,CalumetBeach201405292000,624.8399999999999,1
67,Montrose Beach,2014-05-29T21:00:00,15.4,5.9,1.416,0.286,3.0,11.8,MontroseBeach201405292100,769.5999999999999,1
68,Calumet Beach,2014-05-29T21:00:00,16.8,1.4,1.482,0.189,3.0,11.7,CalumetBeach201405292100,634.1,1
69,Montrose Beach,2014-05-29T22:00:00,15.2,6.03,1.4,0.266,3.0,11.8,MontroseBeach201405292200,736.12,1
70,Calumet Beach,2014-05-29T22:00:00,16.9,1.51,1.481,0.177,4.0,11.7,CalumetBeach201405292200,621.54,1
71,Calumet Beach,2014-05-29T23:00:00,16.8,1.55,1.511,0.194,3.0,11.7,CalumetBeach201405292300,642.2,1
72,Montrose Beach,2014-05-29T23:00:00,15.2,5.71,1.397,0.262,3.0,11.8,MontroseBeach201405292300,728.8399999999999,1
73,Calumet Beach,2014-05-30T00:00:00,16.6,1.79,1.539,0.21,4.0,11.7,CalumetBeach201405302400,666.1600000000001,1
74,Montrose Beach,2014-05-30T00:00:00,15.2,6.09,1.438,0.234,3.0,11.8,MontroseBeach201405302400,688.36,1
75,Calumet Beach,2014-05-30T01:00:00,16.4,1.74,1.437,0.176,4.0,11.7,CalumetBeach201405300100,610.96,1
76,Montrose Beach,2014-05-30T01:00:00,15.0,5.98,1.379,0.26,3.0,11.8,MontroseBeach201405300100,722.9200000000001,1
77,Montrose Beach,2014-05-30T02:00:00,15.0,5.92,1.504,0.26,3.0,11.8,MontroseBeach201405300200,722.6800000000001,1
78,Calumet Beach,2014-05-30T02:00:00,16.4,1.53,1.579,0.193,4.0,11.7,CalumetBeach201405300200,635.62,1
79,Calumet Beach,2014-05-30T03:00:00,16.3,1.72,1.564,0.176,4.0,11.7,CalumetBeach201405300300,608.88,1
80,Montrose Beach,2014-05-30T03:00:00,14.9,6.51,1.422,0.261,3.0,11.8,MontroseBeach201405300300,724.54,1
81,Montrose Beach,2014-05-30T04:00:00,14.8,5.35,1.441,0.266,4.0,11.8,MontroseBeach201405300400,728.4,1
82,Calumet Beach,2014-05-30T04:00:00,16.2,1.77,1.513,0.168,3.0,11.7,CalumetBeach201405300400,592.08,1
83,Calumet Beach,2014-05-30T05:00:00,16.2,1.6,1.465,0.152,3.0,11.7,CalumetBeach201405300500,567.4,1
84,Montrose Beach,2014-05-30T05:00:00,14.8,5.66,1.441,0.253,4.0,11.8,MontroseBeach201405300500,710.14,1
85,Montrose Beach,2014-05-30T06:00:00,14.7,5.53,1.401,0.219,3.0,11.8,MontroseBeach201405300600,653.62,1
86,Calumet Beach,2014-05-30T06:00:00,16.1,1.53,1.5,0.144,3.0,11.7,CalumetBeach201405300600,553.12,1
87,Calumet Beach,2014-05-30T07:00:00,16.1,1.71,1.559,0.132,3.0,11.7,CalumetBeach201405300700,535.8399999999999,1
88,Montrose Beach,2014-05-30T07:00:00,14.7,5.53,1.455,0.22,4.0,11.8,MontroseBeach201405300700,658.12,1
89,Calumet Beach,2014-05-30T08:00:00,16.2,1.68,1.496,0.127,3.0,11.7,CalumetBeach201405300800,530.22,1
90,Montrose Beach,2014-05-30T08:00:00,14.8,5.58,1.4,0.228,3.0,11.8,MontroseBeach201405300800,669.3199999999999,1
91,Montrose Beach,2014-05-30T09:00:00,15.0,5.36,1.399,0.223,3.0,11.8,MontroseBeach201405300900,664.94,1
92,Calumet Beach,2014-05-30T09:00:00,16.3,1.59,1.453,0.108,3.0,11.6,CalumetBeach201405300900,503.36,1
93,Montrose Beach,2014-05-30T10:00:00,15.2,5.03,1.429,0.198,3.0,11.8,MontroseBeach201405301000,630.12,1
94,Calumet Beach,2014-05-30T10:00:00,16.6,1.52,1.52,0.111,3.0,11.6,CalumetBeach201405301000,513.5799999999999,1
95,Calumet Beach,2014-05-30T11:00:00,16.8,1.45,1.492,0.107,3.0,11.6,CalumetBeach201405301100,511.3,1
96,Montrose Beach,2014-05-30T11:00:00,15.5,5.28,1.443,0.202,3.0,11.8,MontroseBeach201405301100,643.12,1
97,Montrose Beach,2014-05-30T12:00:00,15.8,5.04,1.454,0.193,3.0,11.8,MontroseBeach201405301200,634.6600000000001,1
